Abi,aescetic.png,"Loves dancing in the rain, especially after dark, holding the hand of her smallest daughter. She is working on her temper, her taxes, and the introduction to Buddhism book she purchased at the airport."
Agu,arms-crossed.png,"Bouncer at a popular nightclub. He doesn't know it, but his presence at the door in the near future&hellip; his disarming smile as much as his broad shoulders&hellip; will stop a mass shooting."
Ali,asleep-in-bed.png,Was born with Down's Syndrome. The beloved bright light of her family's world.
Ami,assembly-line.png,"Never attended primary school and was married at fourteen. Rarely cries anymore. A fine cook, getting better."
Ari,baby-thoughts.png,Is on their honeymoon.
Ati,barbeque.png,"Slam poet, barbeque genius, frequent flyer and possibly the best kisser in California (and that's a lot of people)."
Bao,bike-repair.png,Is one of the last knowledge keepers in the village.
Bel,call-centre.png,"Foster mother to twelve. Two children still in middle school, one a fire starter. School volunteer. Lay minister. Only slightly falling apart. Spends anxious midnight moments deciding whether or not to adopt number thirteen, a child who could change our modern understanding of physics."
Bob,car-breakdown.png,"Fell in love five months after she arrived in Thailand in 2012, while on a boat from the mainland to Koh Samui. She has a shark tattoo that she regrets, a law degree and a memory of a single perfect week."
Cai,cartwheel.png,"Happy, well-fed and loved, she works on her flexibility every day, her back arching gracefully until she can grab her ankles with her wrists. By next year she'll be really good &ndash; good enough to busk for tourist dollars. Her father has died and her grandmother needs this to work."
Cat,cheerful.png,Sends emoji goodnight kisses to a burning-the-midnight-oil co-conspirator.
Chu,chemist.png,"Researches a sibling cord blood collection program and will, if they live, pioneer the use of cord blood to cure cerebral palsy."
Dai,clown-and-kids.png,Just learned to ride a bike. Loves chocolate cake and recess.
Daw,cocktail-party.png,"Somelier recently hired to work at a restaurant with a Michelin star in another country. But now the shutdown. If he's leaving, he needs to make a decision. He's bought the ring. He'll ask him tonight."
Dee,covered-up.png,"Lives in the back of a tourist hotel in Siem Riep and is working on a remarkable book of poems, late night, on an old laptop left behind by a family visiting Angor Wat. No, he hasn't deleted the original data. And if he stares too long at the life in those pictures, who would judge."
Des,crossing-guard.png,"She doesn't know it yet, but she's pregnant with her first child. She was hoping for the year of the monkey, but she'll take it."
Dua,cyclist.png,Voted internist of the year. Twice.
Ebi,deep-in-book.png,&hellip;is eleven years old and has never been kissed. But she has a plan and a photograph in her pocket and a sense that once the kiss happens she will be able to concentrate on math and the next project: bridge building.
Efe,desk-work.png,"Angel investor based in Nigeria with $27 Million to put into African early stage startups in renewable energy, healthcare, education and agriculture."
Eir,dogmatic.png,"Too many girlfriends. Too much dancing. A levels cancelled. Growing out an unfortunate fringe. Seventeen."
Eka,drilling.png,"Is a twin. He jokes that he is the &ldquo;bad twin&rdquo; and it's not really a joke, because his brother is utterly lovely and this has allowed for considerable Bad Twin freedom, so often a reckless single adventure away from ruin. But no one else speaks that knowing secret language of the womb. Aches wondering about what it would mean to live on, twinless."
Eli,eating-kebab.png,Multilingual with fast fingers and an eye for beauty. Member of the Bahala Na gang. Supporting six.
Eus,eating-noodles.png,Arrived at Heathrow in January without a winter coat and learned a beautiful working English within four months. Enough to say both &lsquo;thank you&rsquo; and &lsquo;I want.&rsquo;
Fai,electric-guitar.png,Never did get to be in a band but plays a mean air guitar. It makes his son laugh. The heart of a large family. Loved.
Fil,explaining.png,"Newly divorced and just starting to date when all this happened. Is rather desperate to be good in bed and has managed to find at least three partners in early March who found this charming. Or said they did. Trying to stay positive. Writing a screenplay."
Gad,farm-work.png,"Apprentice to a mountain man living in remote wilderness. Is learning to trap and skin beaver, trading the meat for blueberry preserves. Is a careful listener because one day it will be up to them to show others."
Gen,father-and-daughter.png,Only child. Planning to become a firefighter.
Gry,fear-of-death.png,"Gave up smoking fourteen years ago, coughs blood into a handkerchief and tells his brother he has never felt better."
Hai,feeling-unwell.png,"Professional beauty blogger. Suffers crippling social anxiety but has just started a new online treatment. She stands on the balcony, oddly unafraid, for the first time in four years."
Hie,fiddler.png,&hellip;is a fabulist with invented ancestry and a lovely laugh who never really went to Julliard&hellip;. But he can really play the viola. Really play.
Ian,food-toss.png,Winner of the Booker Prize.
Ife,four-eyes.png,Is sure that if they try harder and stand straighter they will surely be adopted this time. Rehearses virtue in the mirror. Four years in foster care.
